,agora,ainda,algum,alguma,alguns,ali,alma,anos,antes,aos,até,bem,cabeça,casa,coisa,com,como,depois,desde,dia,disse,dizer,dois,duas,ele,entre,então,era,espírito,essa,esse,esta,este,está,eu,foi,fora,grande,homem,horas,há,isso,isto,já,lhe,longe,lá,mais,mas,me,meio,melhor,menos,mesmo,meu,minha,muito,nada,nas,no,noite,nome,nos,nunca,olhos,ou,outra,outro,outros,pela,pelo,pode,porque,pouco,primeiro,quando,que,quem,senhor,ser,seus,si,são,só,também,tem,tempo,ter,toda,todo,todos,três,tudo,tão,verdade,vez,vezes,vida,à,é
Total,0.0664,0.1206,0.0434,0.0641,0.0556,0.0438,0.101,0.0807,0.058,0.0814,0.0781,0.0753,0.0412,0.1241,0.0751,0.5628,0.3471,0.1155,0.0393,0.0891,0.106,0.0362,0.069,0.0583,0.2361,0.0702,0.081,0.3527,0.0457,0.0834,0.0871,0.0652,0.0887,0.0541,0.2554,0.1484,0.0476,0.0778,0.0903,0.0489,0.1067,0.0574,0.0534,0.1127,0.1969,0.0352,0.0315,0.2707,0.4001,0.2586,0.0429,0.0463,0.063,0.1063,0.1391,0.157,0.0872,0.0845,0.0666,0.3502,0.0703,0.0493,0.0879,0.0449,0.1146,0.2168,0.0958,0.0886,0.055,0.0909,0.0821,0.0617,0.0855,0.0665,0.0412,0.1669,2.2315,0.0702,0.071,0.0993,0.0997,0.0423,0.0622,0.1156,0.0684,0.0528,0.1003,0.0665,0.0581,0.0541,0.0701,0.0413,0.0972,0.0884,0.0372,0.0746,0.0489,0.086,0.3148,0.5005
Average,0.0051,0.0093,0.0033,0.0049,0.0043,0.0034,0.0078,0.0062,0.0045,0.0063,0.006,0.0058,0.0032,0.0095,0.0058,0.0433,0.0267,0.0089,0.003,0.0069,0.0082,0.0028,0.0053,0.0045,0.0182,0.0054,0.0062,0.0271,0.0035,0.0064,0.0067,0.005,0.0068,0.0042,0.0196,0.0114,0.0037,0.006,0.0069,0.0038,0.0082,0.0044,0.0041,0.0087,0.0151,0.0027,0.0024,0.0208,0.0308,0.0199,0.0033,0.0036,0.0048,0.0082,0.0107,0.0121,0.0067,0.0065,0.0051,0.0269,0.0054,0.0038,0.0068,0.0035,0.0088,0.0167,0.0074,0.0068,0.0042,0.007,0.0063,0.0047,0.0066,0.0051,0.0032,0.0128,0.1717,0.0054,0.0055,0.0076,0.0077,0.0033,0.0048,0.0089,0.0053,0.0041,0.0077,0.0051,0.0045,0.0042,0.0054,0.0032,0.0075,0.0068,0.0029,0.0057,0.0038,0.0066,0.0242,0.0385
helena - machado,0.0044,0.0086,0.0039,0.0071,0.0072,0.007,0.0036,0.0039,0.0055,0.0044,0.0054,0.0031,0.004,0.0128,0.0077,0.0444,0.0203,0.0098,0.003,0.0071,0.0182,0.0037,0.0077,0.0052,0.0293,0.0071,0.0027,0.035,0.0051,0.0048,0.0051,0.0064,0.0044,0.0028,0.013,0.0157,0.0034,0.0031,0.0058,0.0034,0.0095,0.005,0.0015,0.0085,0.0319,0.0022,0.0017,0.0248,0.0302,0.0124,0.0044,0.004,0.0072,0.0089,0.0081,0.0094,0.0066,0.007,0.0035,0.0208,0.0051,0.0014,0.0056,0.0042,0.0132,0.0153,0.0044,0.0066,0.002,0.0052,0.0044,0.0051,0.0062,0.0073,0.0041,0.0112,0.164,0.0044,0.0024,0.0083,0.0059,0.0049,0.0042,0.0095,0.004,0.0048,0.0098,0.0035,0.0034,0.0047,0.0059,0.003,0.0067,0.0069,0.0041,0.0072,0.0033,0.0063,0.0248,0.0342
iracema - jose,0.0058,0.0102,0.0028,0.0009,0.0012,0.0051,0.0104,0.0009,0.0039,0.01,0.0081,0.0021,0.0035,0.0021,0.0007,0.0354,0.0458,0.0097,0.0028,0.006,0.0067,0.0012,0.0051,0.0025,0.0273,0.0116,0.0074,0.0113,0.0046,0.0035,0.0039,0.0023,0.0044,0.0053,0.0039,0.0127,0.0035,0.0204,0.0019,0.0002,0.0032,0.0019,0.0002,0.0199,0.0116,0.0063,0.0032,0.0259,0.0194,0.006,0.0032,0.0032,0.0002,0.0035,0.0051,0.0028,0.0023,0.0019,0.0139,0.0433,0.0088,0.0174,0.0102,0.0042,0.0227,0.0097,0.0032,0.0046,0.0035,0.0134,0.0093,0.003,0.0104,0.0014,0.0069,0.0225,0.1778,0.0051,0.0058,0.0037,0.0197,0.003,0.0035,0.0127,0.0037,0.0083,0.0079,0.0019,0.0025,0.003,0.0053,0.0023,0.0014,0.0049,0.0005,0.0049,0.0049,0.0035,0.0354,0.0428
Memorias postumas de bras cubas - Machado,0.0058,0.0068,0.0037,0.0062,0.0055,0.0022,0.0015,0.0061,0.0027,0.0054,0.0069,0.005,0.0025,0.008,0.0111,0.0434,0.0208,0.0119,0.001,0.0068,0.0099,0.0052,0.0044,0.0042,0.0174,0.0043,0.0072,0.0382,0.0026,0.0043,0.0065,0.0061,0.0046,0.0031,0.0356,0.0124,0.0038,0.0053,0.0081,0.002,0.0068,0.0037,0.0053,0.007,0.0129,0.0022,0.0049,0.0205,0.0309,0.0295,0.0023,0.0037,0.0084,0.0072,0.0167,0.0137,0.012,0.0094,0.0034,0.022,0.0034,0.0018,0.0073,0.0036,0.0103,0.0171,0.0087,0.0093,0.0048,0.0038,0.003,0.003,0.0084,0.0073,0.0025,0.0088,0.1646,0.0045,0.0022,0.0072,0.003,0.0037,0.0037,0.007,0.0044,0.0022,0.0085,0.0036,0.0025,0.0022,0.0052,0.0046,0.0074,0.0071,0.004,0.0061,0.004,0.0088,0.0214,0.038
O Alienista - Machado de Assis,0.0068,0.009,0.0034,0.0053,0.0049,0.0022,0.0043,0.004,0.004,0.0087,0.0059,0.0031,0.0009,0.0343,0.0071,0.0417,0.017,0.0105,0.0056,0.0065,0.0096,0.0046,0.0074,0.0074,0.0328,0.0028,0.004,0.0402,0.0031,0.0031,0.0037,0.0074,0.0077,0.0046,0.0028,0.0167,0.0062,0.0074,0.0093,0.0034,0.0046,0.0053,0.0049,0.0028,0.0189,0.0012,0.0015,0.0241,0.0365,0.0028,0.0025,0.004,0.0068,0.0087,0.0034,0.0015,0.0059,0.0099,0.0037,0.0173,0.0012,0.0034,0.0056,0.004,0.0049,0.0195,0.0114,0.0105,0.0059,0.0059,0.0046,0.0053,0.009,0.004,0.0022,0.0071,0.1716,0.0074,0.0022,0.0083,0.0068,0.0043,0.0034,0.009,0.0053,0.0025,0.0062,0.0053,0.0056,0.004,0.0114,0.0059,0.008,0.0096,0.0059,0.0046,0.0031,0.0022,0.0396,0.0275
O emprestimo - Machado,0.007,0.0105,0.0018,0.007,0.007,0.0053,0.0123,0.007,0.0035,0.0053,0.0105,0.0105,0.0035,0.0018,0.007,0.0544,0.0211,0.007,0.0018,0.0018,0.0088,0.0018,0.0035,0.0018,0.0351,0.007,0.0035,0.0316,0.0018,0.0018,0.0035,0.0035,0.0175,0.0053,0.0105,0.007,0.0018,0.0123,0.0053,0.007,0.0105,0.0088,0.0018,0.0035,0.0228,0.0018,0.0018,0.0088,0.0474,0.007,0.0018,0.0018,0.0123,0.0088,0.0053,0.0035,0.0123,0.0105,0.0053,0.0246,0.0035,0.0018,0.0035,0.0018,0.0053,0.0193,0.007,0.0123,0.007,0.0035,0.0018,0.0088,0.0053,0.0053,0.0018,0.0035,0.1596,0.007,0.0123,0.0088,0.0035,0.0035,0.007,0.007,0.007,0.0018,0.0018,0.0123,0.0018,0.0035,0.0105,0.0053,0.014,0.007,0.0018,0.0053,0.0018,0.0123,0.0175,0.0404
o espelho - machado,0.0041,0.0027,0.0027,0.0068,0.0054,0.0027,0.0311,0.0068,0.0041,0.0027,0.0027,0.0054,0.0027,0.0162,0.0108,0.0338,0.0243,0.0027,0.0041,0.0081,0.0027,0.0014,0.0041,0.0095,0.0068,0.0041,0.0068,0.0527,0.0014,0.0041,0.0027,0.0041,0.0081,0.0027,0.0149,0.0162,0.0081,0.0054,0.0108,0.0054,0.0122,0.0041,0.0041,0.0014,0.0027,0.0014,0.0027,0.0243,0.0338,0.023,0.0027,0.0081,0.0068,0.0108,0.0041,0.0122,0.0054,0.0149,0.0041,0.0297,0.0108,0.0014,0.0081,0.0054,0.0054,0.0203,0.0149,0.0162,0.0068,0.0054,0.0054,0.0041,0.0081,0.0095,0.0027,0.0108,0.1486,0.0027,0.0068,0.0108,0.0027,0.0014,0.0054,0.0149,0.0068,0.0014,0.0081,0.0081,0.0068,0.0027,0.0014,0.0054,0.0149,0.0027,0.0041,0.0027,0.0027,0.0054,0.0108,0.0284
O gaucho - jose,0.0048,0.01,0.0042,0.0035,0.0034,0.0047,0.0059,0.0034,0.0051,0.005,0.0071,0.0089,0.004,0.008,0.0033,0.064,0.0317,0.0107,0.0051,0.005,0.008,0.001,0.008,0.005,0.0244,0.0064,0.0106,0.0239,0.0029,0.0069,0.0069,0.0064,0.0062,0.0064,0.0126,0.0138,0.0059,0.0059,0.0112,0.0024,0.0081,0.0043,0.0018,0.0149,0.016,0.0069,0.0052,0.0199,0.0251,0.011,0.006,0.0019,0.0013,0.0078,0.0055,0.0024,0.0049,0.0029,0.0063,0.04,0.0047,0.0031,0.0066,0.0025,0.0087,0.0094,0.0051,0.0076,0.0043,0.0144,0.0144,0.0018,0.0025,0.0042,0.0044,0.0161,0.1722,0.0096,0.0038,0.0054,0.0073,0.0032,0.0035,0.0069,0.0045,0.004,0.0095,0.0031,0.0038,0.003,0.0044,0.0038,0.0029,0.0064,0.0012,0.0079,0.0046,0.0029,0.0282,0.0235
senhora - jose,0.0045,0.0115,0.0036,0.004,0.0016,0.0036,0.0061,0.0022,0.0058,0.0056,0.0051,0.0062,0.0035,0.01,0.0033,0.0587,0.0318,0.0101,0.0049,0.0049,0.0078,0.0016,0.0043,0.0035,0.016,0.0053,0.0064,0.0196,0.0036,0.0113,0.0092,0.0074,0.0082,0.0051,0.0154,0.01,0.0037,0.0022,0.0065,0.0029,0.0067,0.0038,0.0028,0.0123,0.0213,0.0015,0.0013,0.0238,0.025,0.0139,0.0038,0.0025,0.0032,0.0048,0.0083,0.0098,0.0065,0.003,0.0035,0.0295,0.0075,0.0021,0.0074,0.005,0.006,0.0105,0.0049,0.0048,0.0025,0.0107,0.0092,0.0031,0.0024,0.0028,0.0028,0.0165,0.1989,0.0097,0.0073,0.0071,0.0098,0.0059,0.0034,0.0072,0.005,0.0059,0.0076,0.0046,0.0033,0.0047,0.0048,0.002,0.0038,0.0068,0.0026,0.0066,0.0038,0.0053,0.0331,0.0287
teoria do medalhao - machado,0.0018,0.0053,0.0035,0.0053,0.0053,0.0018,0.0018,0.0281,0.007,0.0175,0.0035,0.0053,0.0018,0.0035,0.0053,0.0368,0.0211,0.0018,0.0018,0.0123,0.0035,0.0053,0.007,0.0035,0.0053,0.0035,0.0035,0.0018,0.007,0.0088,0.0123,0.0018,0.0088,0.0035,0.007,0.0035,0.0018,0.0035,0.0035,0.0018,0.014,0.007,0.007,0.0018,0.0035,0.0018,0.0018,0.0246,0.0368,0.0105,0.0035,0.0053,0.0035,0.0158,0.0123,0.0018,0.0053,0.007,0.0105,0.0228,0.0018,0.007,0.0053,0.0018,0.0035,0.0474,0.0158,0.0018,0.0088,0.0018,0.007,0.0123,0.0105,0.0018,0.0018,0.0105,0.1439,0.0018,0.0035,0.014,0.007,0.0053,0.0158,0.0053,0.0088,0.0053,0.007,0.007,0.0088,0.0105,0.0018,0.0018,0.007,0.0018,0.0018,0.0035,0.0018,0.0088,0.0246,0.1018
a_viuvinha - jose,0.0041,0.0129,0.0038,0.005,0.0047,0.0021,0.0053,0.0094,0.0029,0.0044,0.005,0.0065,0.0059,0.0076,0.0047,0.0408,0.0264,0.0159,0.0015,0.0079,0.0106,0.0015,0.0088,0.0053,0.0141,0.0059,0.0085,0.0261,0.0068,0.0094,0.0153,0.0041,0.0053,0.0044,0.01,0.0073,0.0029,0.0021,0.0135,0.0076,0.0097,0.0023,0.007,0.0082,0.0194,0.0009,0.0006,0.0185,0.0267,0.015,0.0041,0.0021,0.0026,0.0076,0.007,0.0109,0.0041,0.0032,0.0032,0.0326,0.0065,0.0044,0.0079,0.0018,0.0073,0.0088,0.0041,0.0026,0.0012,0.0091,0.0088,0.0044,0.0053,0.0079,0.0029,0.0141,0.2017,0.0044,0.0079,0.0038,0.0129,0.0018,0.0018,0.0047,0.0021,0.0032,0.0109,0.0044,0.0068,0.0044,0.0053,0.0023,0.0073,0.0073,0.0029,0.0047,0.0056,0.0097,0.0252,0.0297
cincominutos - jose,0.0025,0.0124,0.0041,0.0041,0.0038,0.0016,0.0044,0.0013,0.0048,0.0025,0.0051,0.0057,0.0032,0.0032,0.0044,0.034,0.0318,0.0067,0.0029,0.0111,0.0048,0.0022,0.0022,0.0048,0.0054,0.0044,0.0054,0.0213,0.0029,0.0111,0.0098,0.0051,0.0048,0.0022,0.0387,0.0073,0.0003,0.0013,0.0079,0.0076,0.0048,0.0006,0.0092,0.0064,0.0067,0.0029,0.0013,0.0152,0.0225,0.0534,0.0041,0.0019,0.0054,0.0083,0.0333,0.0403,0.0048,0.0035,0.0032,0.0257,0.0076,0.0019,0.0067,0.0019,0.0095,0.0098,0.0029,0.0019,0.001,0.0054,0.0057,0.0029,0.0079,0.0073,0.0035,0.0187,0.1988,0.0029,0.0035,0.0051,0.0079,0.0003,0.0016,0.0121,0.0013,0.0035,0.0083,0.0044,0.0064,0.0057,0.0057,0.0016,0.007,0.0121,0.0016,0.0051,0.0051,0.0089,0.0187,0.0254
diva - jose,0.006,0.012,0.0025,0.0047,0.0015,0.0035,0.0118,0.0031,0.0032,0.0043,0.0063,0.0078,0.0021,0.0061,0.0036,0.0411,0.0304,0.0095,0.0031,0.0049,0.0079,0.0014,0.0026,0.0024,0.0075,0.0045,0.0088,0.0166,0.0035,0.0132,0.0064,0.005,0.0031,0.0045,0.0583,0.0116,0.0029,0.0046,0.0025,0.0035,0.0068,0.0068,0.002,0.0158,0.0144,0.0045,0.002,0.0185,0.0273,0.0434,0.0025,0.0026,0.0022,0.0067,0.0195,0.0276,0.0079,0.0029,0.0031,0.0204,0.0068,0.0025,0.0072,0.006,0.0077,0.0118,0.005,0.0038,0.0028,0.0072,0.0057,0.0028,0.0056,0.0032,0.0025,0.0151,0.1606,0.0074,0.01,0.006,0.0091,0.0022,0.0032,0.0086,0.0042,0.0059,0.0072,0.0049,0.004,0.0026,0.0038,0.0013,0.005,0.0081,0.0025,0.007,0.0059,0.0064,0.0188,0.0344
Dom Casmurro - Machado,0.0089,0.0088,0.0034,0.0043,0.0039,0.0022,0.0025,0.0046,0.0054,0.0057,0.0065,0.0057,0.0036,0.0105,0.0061,0.0342,0.0246,0.0093,0.002,0.0067,0.0076,0.0054,0.0039,0.0033,0.0148,0.0033,0.0062,0.0344,0.0006,0.0013,0.0017,0.0057,0.0055,0.0043,0.0328,0.0142,0.0033,0.0044,0.0042,0.0015,0.0097,0.0039,0.0057,0.0103,0.015,0.0019,0.0036,0.0217,0.0383,0.0308,0.002,0.0052,0.0031,0.0075,0.0104,0.0211,0.0092,0.0084,0.003,0.0216,0.0025,0.0012,0.0065,0.0028,0.0101,0.0179,0.0084,0.0066,0.0046,0.005,0.003,0.0052,0.0039,0.0046,0.0032,0.0121,0.1693,0.0033,0.0034,0.0107,0.004,0.0029,0.0057,0.0108,0.0115,0.0042,0.0075,0.0035,0.0025,0.003,0.0047,0.0022,0.0117,0.0078,0.0043,0.0091,0.0025,0.0057,0.0166,0.0458
