,a alma,a cabeça,a um,a vida,com a,com as,com o,com os,com um,como um,de que,de um,de uma,do que,e a,e de,e não,e o,e os,e que,em que,há de,mas não,não me,não é,o mesmo,o meu,o que,os olhos,os outros,pode ser,por que,que a,que as,que lhe,que me,que não,que o,que os,que se,que é,se a,toda a,todo o,todos os,um homem,é a,é o,é que
Total,0.1922,0.1337,0.1585,0.1175,0.4295,0.0955,0.3638,0.2024,0.2179,0.1592,0.2249,0.6277,0.4577,0.2734,0.473,0.1839,0.2254,0.4712,0.158,0.1872,0.3495,0.1391,0.1855,0.2293,0.2089,0.1255,0.1847,0.5243,0.3163,0.0693,0.0804,0.1612,0.639,0.1154,0.3125,0.4041,0.5816,0.765,0.1574,0.489,0.2093,0.0774,0.1935,0.1204,0.2016,0.1346,0.195,0.1964,0.2815
Average,0.0148,0.0103,0.0122,0.009,0.033,0.0073,0.028,0.0156,0.0168,0.0122,0.0173,0.0483,0.0352,0.021,0.0364,0.0141,0.0173,0.0362,0.0122,0.0144,0.0269,0.0107,0.0143,0.0176,0.0161,0.0097,0.0142,0.0403,0.0243,0.0053,0.0062,0.0124,0.0492,0.0089,0.024,0.0311,0.0447,0.0588,0.0121,0.0376,0.0161,0.006,0.0149,0.0093,0.0155,0.0104,0.015,0.0151,0.0217
helena - machado,0.0079,0.0112,0.0103,0.0087,0.0344,0.0079,0.0257,0.0132,0.0145,0.007,0.0215,0.0422,0.0302,0.0286,0.0497,0.0108,0.0141,0.0348,0.0083,0.0116,0.0294,0.0157,0.0141,0.0079,0.0215,0.0083,0.0103,0.0493,0.036,0.0017,0.0037,0.0112,0.0737,0.0054,0.048,0.0203,0.0306,0.0658,0.0166,0.0261,0.0195,0.0066,0.012,0.0108,0.0124,0.0083,0.0174,0.012,0.0132
iracema - jose,0.009,0.0103,0.0039,0.0052,0.0323,0.0129,0.0439,0.0181,0.0052,0.0065,0.0219,0.0284,0.0206,0.0168,0.0606,0.0155,0.0129,0.0826,0.031,0.0039,0.009,0.0052,0.009,0.0026,0.0103,0.0065,0.0013,0.0335,0.0516,0.0013,0.0039,0.0116,0.0439,0.0116,0.0232,0.0103,0.0194,0.1058,0.0219,0.04,0.0077,0.0077,0.009,0.009,0.0129,0.0013,0.0323,0.0529,0.0039
Memorias postumas de bras cubas - Machado,0.0018,0.0088,0.0147,0.0125,0.032,0.0088,0.0253,0.0184,0.0184,0.0084,0.0096,0.0584,0.0411,0.0184,0.04,0.014,0.0298,0.0294,0.0073,0.0125,0.0191,0.0096,0.0132,0.0209,0.0198,0.004,0.018,0.0437,0.0334,0.0044,0.0044,0.011,0.0489,0.0062,0.0198,0.0456,0.0536,0.047,0.0103,0.0272,0.0239,0.0073,0.0084,0.0051,0.014,0.0107,0.0143,0.0136,0.0327
O Alienista - Machado de Assis,0.0077,0.0046,0.023,0.0031,0.0292,0.0046,0.0323,0.0123,0.0046,0.0092,0.0246,0.0461,0.0384,0.0292,0.0292,0.0077,0.0276,0.0384,0.0138,0.0138,0.0415,0.0092,0.0138,0.0031,0.0138,0.0077,0.0061,0.0369,0.0123,0.0061,0.0046,0.0046,0.0768,0.0031,0.0154,0.0061,0.0553,0.0968,0.0123,0.0246,0.0154,0.0061,0.0246,0.0061,0.0338,0.0138,0.0108,0.0123,0.0276
O emprestimo - Machado,0.0338,0.0068,0.0203,0.0135,0.0405,0.0068,0.027,0.027,0.0203,0.0135,0.0068,0.0473,0.0203,0.0135,0.0405,0.0135,0.0135,0.0203,0.0203,0.0203,0.0068,0.0135,0.0203,0.0068,0.0068,0.0068,0.0068,0.0338,0.0135,0.0068,0.0135,0.0203,0.0135,0.0203,0.0405,0.0068,0.0811,0.0608,0.0135,0.0338,0.0068,0.0068,0.0068,0.0068,0.0338,0.0135,0.0068,0.0068,0.0608
o espelho - machado,0.0802,0.0062,0.0062,0.0185,0.0247,0.0062,0.0309,0.0247,0.0123,0.0123,0.0123,0.037,0.0247,0.0185,0.0247,0.0123,0.0185,0.0309,0.0123,0.0185,0.0432,0.0123,0.0247,0.0185,0.0062,0.0123,0.0062,0.0185,0.0247,0.0062,0.0123,0.0062,0.0617,0.0123,0.0062,0.0556,0.0432,0.0494,0.0062,0.0309,0.0062,0.0062,0.0247,0.0062,0.0062,0.0123,0.0185,0.0062,0.0247
O gaucho - jose,0.0116,0.0129,0.0104,0.0033,0.0562,0.01,0.052,0.0183,0.0291,0.0171,0.0121,0.0607,0.0557,0.027,0.0354,0.0071,0.0133,0.0524,0.01,0.0021,0.0212,0.0146,0.0129,0.0096,0.0125,0.0083,0.0012,0.0329,0.0258,0.0104,0.0017,0.0129,0.0474,0.0033,0.0329,0.0129,0.032,0.0636,0.0133,0.0474,0.015,0.0042,0.0112,0.0067,0.0104,0.0125,0.0083,0.0116,0.0067
senhora - jose,0.006,0.0113,0.0091,0.0056,0.0421,0.0104,0.0386,0.0126,0.0286,0.0138,0.0304,0.0436,0.0408,0.0282,0.0282,0.0104,0.0169,0.0317,0.01,0.0213,0.0339,0.0091,0.0116,0.0179,0.0176,0.0041,0.005,0.0395,0.0173,0.0028,0.0019,0.0113,0.0634,0.0056,0.0383,0.0182,0.0468,0.0647,0.0088,0.0584,0.0129,0.0038,0.01,0.011,0.0129,0.0066,0.0082,0.0097,0.0091
teoria do medalhao - machado,0.0079,0.0079,0.0159,0.0159,0.0317,0.0079,0.0159,0.0079,0.0159,0.0079,0.0238,0.1111,0.0476,0.0159,0.0238,0.0159,0.0079,0.0317,0.0079,0.0079,0.0317,0.0079,0.0079,0.0159,0.0238,0.0397,0.0079,0.0317,0.0079,0.0159,0.0159,0.0159,0.0238,0.0159,0.0079,0.0079,0.0317,0.0476,0.0159,0.0159,0.0317,0.0079,0.0238,0.0159,0.0079,0.0079,0.0397,0.0238,0.0238
a_viuvinha - jose,0.0071,0.0202,0.0166,0.0071,0.0237,0.0047,0.0154,0.013,0.0214,0.0142,0.019,0.051,0.0403,0.0273,0.032,0.0225,0.0107,0.0344,0.0095,0.0261,0.0474,0.0083,0.0142,0.0166,0.0142,0.0071,0.0119,0.051,0.0178,0.0012,0.0036,0.0083,0.0439,0.0059,0.032,0.0249,0.0368,0.0558,0.0095,0.0747,0.0059,0.0036,0.0237,0.0119,0.013,0.0214,0.0083,0.0083,0.0024
cincominutos - jose,0.0056,0.0139,0.0111,0.0042,0.0237,0.0028,0.0125,0.0153,0.0139,0.0306,0.0195,0.0487,0.0334,0.0167,0.0334,0.0306,0.0139,0.0265,0.0084,0.032,0.0237,0.0014,0.007,0.0376,0.0111,0.0042,0.0655,0.0432,0.0209,0.0028,0.0028,0.0139,0.046,0.0042,0.0084,0.0822,0.0404,0.0195,0.0014,0.0501,0.0139,0.0056,0.0209,0.0195,0.0195,0.0167,0.0028,0.0056,0.0125
diva - jose,0.0089,0.0081,0.0097,0.0097,0.0333,0.0057,0.0227,0.0097,0.026,0.0146,0.0178,0.0284,0.047,0.0268,0.0373,0.0122,0.0235,0.0211,0.0073,0.0073,0.0219,0.0146,0.0154,0.0454,0.0243,0.0041,0.0251,0.0519,0.0187,0.0032,0.0016,0.0235,0.0511,0.0081,0.0178,0.0543,0.0454,0.0479,0.0065,0.0324,0.0219,0.0057,0.0114,0.0089,0.013,0.0041,0.0162,0.0195,0.0089
Dom Casmurro - Machado,0.0046,0.0115,0.0072,0.0102,0.0259,0.0069,0.0217,0.0118,0.0079,0.0039,0.0056,0.0246,0.0174,0.0066,0.0381,0.0115,0.0226,0.0371,0.0118,0.0098,0.0207,0.0177,0.0213,0.0266,0.0269,0.0125,0.0194,0.0584,0.0364,0.0066,0.0105,0.0105,0.0449,0.0135,0.022,0.0591,0.0653,0.0404,0.0213,0.0276,0.0285,0.0059,0.0069,0.0026,0.0118,0.0056,0.0115,0.0141,0.0551
